movimiento,pitch1_mean,pitch1_std,pitch1_median,pitch1_min,pitch1_max,pitch1_range,pitch1_iqr,pitch1_rms,pitch1_energy,pitch1_mad_diff,yaw1_mean,yaw1_std,yaw1_median,yaw1_min,yaw1_max,yaw1_range,yaw1_iqr,yaw1_rms,yaw1_energy,yaw1_mad_diff,roll1_mean,roll1_std,roll1_median,roll1_min,roll1_max,roll1_range,roll1_iqr,roll1_rms,roll1_energy,roll1_mad_diff,pitch2_mean,pitch2_std,pitch2_median,pitch2_min,pitch2_max,pitch2_range,pitch2_iqr,pitch2_rms,pitch2_energy,pitch2_mad_diff,yaw2_mean,yaw2_std,yaw2_median,yaw2_min,yaw2_max,yaw2_range,yaw2_iqr,yaw2_rms,yaw2_energy,yaw2_mad_diff,roll2_mean,roll2_std,roll2_median,roll2_min,roll2_max,roll2_range,roll2_iqr,roll2_rms,roll2_energy,roll2_mad_diff,f1_mean,f1_std,f1_median,f1_min,f1_max,f1_range,f1_iqr,f1_rms,f1_energy,f1_mad_diff,f2_mean,f2_std,f2_median,f2_min,f2_max,f2_range,f2_iqr,f2_rms,f2_energy,f2_mad_diff,f3_mean,f3_std,f3_median,f3_min,f3_max,f3_range,f3_iqr,f3_rms,f3_energy,f3_mad_diff,f4_mean,f4_std,f4_median,f4_min,f4_max,f4_range,f4_iqr,f4_rms,f4_energy,f4_mad_diff,f5_mean,f5_std,f5_median,f5_min,f5_max,f5_range,f5_iqr,f5_rms,f5_energy,f5_mad_diff,pitch3_mean,pitch3_std,pitch3_median,pitch3_min,pitch3_max,pitch3_range,pitch3_iqr,pitch3_rms,pitch3_energy,pitch3_mad_diff
000,-1.0335167065601457e-15,34.77280550722337,3.836009431818181,-51.93794056818183,55.31965943181818,107.25760000000001,66.7712,34.77280550722337,1064050.2425020018,0.9269386803185439,9.689219124001365e-16,10.918032714852515,-0.550007613636363,-23.928707613636362,24.05379238636364,47.9825,12.972974999999998,10.918032714852515,104899.025759079,0.4934189988623436,-7.751375299201093e-16,25.300716685262078,-2.2490328409090905,-45.49698284090909,49.89911715909091,95.3961,39.581424999999996,25.300716685262078,563311.113013351,0.7749313993174062,-2.325412589760328e-15,43.74268051413352,12.497696477272726,-68.40715352272728,57.66244647727274,126.06960000000002,88.064875,43.74268051413352,1683811.4467341695,1.0200100113765644,0.0,112.81933899634923,38.82343625,-307.19051375,110.83698625000001,418.0275,82.51395000000002,112.81933899634923,11200818.861384386,1.4481178612059156,1.5502750598402185e-15,13.522243796899103,-0.4554735227272717,-22.926823522727275,41.14307647727273,64.0699,17.895400000000002,13.522243796899103,160908.9480264431,0.4173554038680319,2.0670334131202913e-15,29.258395054845955,-14.338295454545452,-30.838295454545456,59.36170454545456,90.20000000000002,34.50000000000001,29.258395054845952,753327.239443182,1.7071672354948813,3.2297397080004555e-16,8.325958234753493,4.636136363636368,-15.663863636363633,8.436136363636365,24.099999999999998,16.524999999999995,8.325958234753493,61002.99086363635,0.3258248009101252,-2.745278751800387e-15,6.929645798753184,4.042613636363626,-14.457386363636367,6.842613636363637,21.300000000000004,13.399999999999999,6.929645798753185,42257.59198863635,0.2756541524459614,4.198661620400592e-15,5.008980550673438,0.950454545454555,-11.749545454545455,8.750454545454545,20.5,10.399999999999993,5.008980550673438,22079.099818181807,0.21228668941979525,-2.9713605313604188e-15,3.4283216666317493,-0.39556818181818443,-9.245568181818186,6.354431818181819,15.600000000000005,4.699999999999996,3.428321666631749,10342.98271590909,0.19829351535836184,-3.100550119680437e-15,77.23393990114756,-14.80162890730879,-95.2838644737453,117.69085051212821,212.9747149858735,157.81893283760485,77.23393990114756,5249271.695935585,2.6585254730652568
000,-1.0335167065601457e-15,35.467788281999056,-0.7341839772727283,-50.565683977272734,60.50591602272727,111.0716,69.73887500000001,35.467788281999056,1107008.3249427043,0.9378430034129693,-1.162706294880164e-15,11.170477792410388,-0.3084062500000009,-22.79265625,25.18984375,47.9825,13.986550000000001,11.170477792410388,109806.02521744563,0.5314344709897612,1.2918958832001822e-15,25.964229913134062,-0.21575920454545383,-46.90390920454545,48.492190795454555,95.3961,41.301649999999995,25.964229913134062,593244.2867842354,0.7935783845278727,-3.61730847296051e-15,44.15105495994847,8.367727727272728,-65.08547227272727,60.984127727272735,126.06960000000001,91.50970000000001,44.15105495994847,1715397.7755872235,1.0303136518771332,-1.5502750598402185e-15,35.328379294925554,2.3714215909090868,-62.364528409090916,55.7579715909091,118.12250000000002,63.860675,35.328379294925554,1098323.0575733897,1.03207007963595,1.291895883200182e-16,10.573241399578931,-0.023439204545454118,-19.595139204545458,23.66696079545455,43.262100000000004,17.882525,10.573241399578931,98378.22165051746,0.41607576791808876,1.5502750598402185e-15,29.820328775257714,-15.440909090909095,-31.69090909090909,57.40909090909092,89.10000000000001,43.05000000000001,29.820328775257714,782541.7672727276,1.8745164960182032,2.583791766400364e-16,8.066133286671322,4.227272727272734,-15.27272727272727,8.727272727272727,23.999999999999996,16.3,8.066133286671322,57255.00545454545,0.3131968145620024,2.2285203985203144e-15,6.732225046786425,4.069318181818183,-14.330681818181816,6.56931818181819,20.900000000000006,13.399999999999999,6.732225046786426,39884.11159090907,0.27542662116040967,-7.751375299201093e-16,4.751322776887009,0.9502272727272718,-12.249772727272727,8.550227272727273,20.8,9.999999999999996,4.751322776887009,19866.059954545446,0.20546075085324234,-2.099330810200296e-15,2.9188401179745216,-0.037954545454550015,-10.137954545454546,5.562045454545451,15.699999999999998,3.599999999999995,2.9188401179745216,7497.272318181816,0.2007963594994313,1.0335167065601457e-15,78.28205164190595,-14.213076893824354,-93.93986760738085,115.24702339488277,209.18689100226362,161.6127728780635,78.28205164190595,5392710.056154106,2.52811988779601
000,-5.167583532800728e-16,35.79949799928994,1.1433170454545447,-51.339182954545464,59.73241704545454,111.0716,69.656225,35.79949799928994,1127811.5701610246,0.954751308304892,-1.0335167065601457e-15,11.059708747394117,-0.06623431818181924,-23.796384318181822,24.186115681818183,47.9825,14.3381,11.059708747394117,107639.09866792362,0.5640339021615473,-2.583791766400364e-16,25.799038750875116,-1.5791518181818183,-44.932801818181815,50.46329818181819,95.3961,39.527550000000005,25.799038750875116,585719.5524128572,0.8233104664391355,-1.0335167065601457e-15,43.90656650284432,7.6589647727272725,-64.59743522727274,61.47216477272728,126.06960000000002,88.941825,43.90656650284432,1696452.192220448,1.0386952218430037,-7.751375299201093e-16,35.64250335267123,4.419901590909092,-60.69379840909091,55.6702015909091,116.364,64.892425,35.64250335267123,1117941.4798157578,1.031842775881684,-6.459479416000911e-16,10.681337460467924,0.4782596590909094,-19.68349034090909,24.78220965909091,44.4657,16.227999999999998,10.681337460467924,100400.05355106792,0.4170143344709898,-7.751375299201093e-16,26.36453321138133,-12.313977272727278,-30.213977272727277,60.78602272727274,91.00000000000001,28.05,26.36453321138133,611677.9780795457,1.94505119453925,-2.583791766400364e-16,7.63727894186451,3.5539772727272663,-14.14602272727273,8.253977272727269,22.4,14.725000000000003,7.63727894186451,51328.666079545445,0.3005688282138795,-2.2608177956003187e-15,6.457565934590739,3.273863636363636,-14.826136363636365,6.57386363636364,21.400000000000006,11.749999999999993,6.457565934590739,36696.13886363635,0.27144482366325373,2.2285203985203144e-15,4.443101102208022,0.40056818181818343,-12.499431818181815,9.000568181818185,21.5,7.824999999999997,4.443101102208022,17372.209715909084,0.2020477815699659,2.5191969722403553e-15,2.476476258535686,0.03750000000000142,-10.562499999999998,5.837500000000006,16.400000000000006,3.1999999999999993,2.476476258535686,5396.9825,0.19749715585893077,1.0335167065601457e-15,76.94703484429239,-18.28771117899704,-84.6227593469608,116.41151518838633,201.03427453534715,159.31707423242307,76.94703484429239,5210344.6307692975,2.499149994454948
000,-5.81353147440082e-16,28.82422456709056,7.1820238636363625,-57.70382613636364,60.69647386363636,118.4003,44.573275,28.82422456709056,731135.611266779,2.138615813424346,7.751375299201093e-16,22.99679623246115,-6.64371125,-61.37151125,52.97598875000001,114.34750000000001,35.31325,22.99679623246115,465390.32052245864,1.4502744027303756,-7.751375299201093e-16,33.143642249932164,-1.0276754545454576,-61.587225454545454,77.03677454545453,138.624,53.70655,33.143642249932164,966680.8990005099,2.126268600682594,-1.2918958832001822e-15,38.07713047709968,13.700720113636358,-72.94352988636365,43.990770113636366,116.93430000000001,62.3464,38.07713047709968,1275883.7215256644,2.497411717861206,-2.583791766400364e-16,17.150690597479286,1.1689487499999998,-49.51670125000001,47.678498749999996,97.1952,17.511025000000004,17.150690597479286,258848.64541400864,1.5394068259385665,1.5502750598402185e-15,15.089113530003194,-0.3722113636363611,-33.845811363636365,46.44068863636364,80.2865,21.14965,15.089113530003194,200359.58546676638,0.9847044368600683,3.8756876496005463e-16,1.739776954302803,-1.0248863636363623,-11.624886363636366,5.975113636363634,17.6,1.9999999999999964,1.739776954302803,2663.604988636361,0.1217292377701934,3.8110928554405374e-15,10.371095545682014,4.7139772727272735,-17.736022727272726,14.663977272727294,32.40000000000002,20.600000000000005,10.371095545682014,94652.46807954546,0.7005688282138797,-1.6148698540002276e-15,8.210418443826555,3.5224999999999973,-14.027500000000003,11.272500000000008,25.30000000000001,16.899999999999988,8.210418443826557,59321.654500000004,0.5485779294653017,2.454602178080346e-15,9.354948914984135,2.4171590909090988,-20.432840909090906,22.067159090909094,42.5,16.59999999999999,9.354948914984133,77013.26089772728,0.7265073947667806,1.291895883200182e-16,4.241518358200816,-1.4187500000000028,-12.21875,15.181250000000006,27.400000000000006,4.625000000000003,4.241518358200816,15831.620625,0.3036405005688283,1.0335167065601457e-15,87.52722334970707,-47.0227445607356,-144.67623876834523,128.99533320250697,273.6715719708522,180.20195882273677,87.52722334970707,6741693.048032366,5.2303557178873
000,-3.8756876496005463e-16,28.850607239264463,9.440611022727271,-59.75678897727273,58.643511022727274,118.4003,41.7805,28.850607239264463,732474.6335053832,2.1946516496018202,5.167583532800728e-16,23.969876668614344,-7.491327954545454,-61.38467795454545,54.412222045454556,115.79690000000001,37.06595000000001,23.969876668614344,505608.38900755235,1.511096587030717,0.0,32.84439225023322,-2.7568513636363647,-59.08295136363636,79.54104863636363,138.624,55.979425000000006,32.84439225023322,949303.6100127185,2.1721153583617747,5.167583532800728e-16,37.649191442229444,16.447521704545455,-76.39202829545455,41.164671704545455,117.5567,64.78365,37.649191442229444,1247366.2223032056,2.518967007963595,0.0,18.8061173236012,0.2372019318181824,-48.87549806818183,59.995001931818194,108.87050000000002,19.3269,18.8061173236012,311229.64293436677,1.6944242320819114,-1.5502750598402185e-15,15.186380903301439,-0.0032243181818198963,-36.53117431818182,45.38302568181818,81.9142,20.26295,15.186380903301439,202951.02514733962,1.022230489192264,4.202698795035592e-15,1.6467501020981683,-0.880681818181813,-12.380681818181817,6.119318181818183,18.5,1.5999999999999952,1.6467501020981685,2386.371590909089,0.11786120591581342,-6.459479416000911e-16,9.981346180650979,3.045113636363631,-17.254886363636366,15.145113636363654,32.40000000000002,19.725000000000005,9.981346180650979,87671.99898863638,0.6945392491467577,8.7202972116012295e-16,8.022284806237977,3.386818181818178,-13.413181818181815,11.386818181818192,24.800000000000008,16.325000000000003,8.022284806237977,56634.20709090908,0.5475540386803187,-5.2321783269607375e-15,9.128413295156507,2.2334090909090847,-18.666590909090914,22.333409090909086,41.0,15.624999999999995,9.128413295156507,73328.57777272728,0.7187713310580207,1.2918958832001822e-15,4.174042053707138,-1.4295454545454547,-10.229545454545452,15.570454545454552,25.800000000000004,4.499999999999995,4.174042053707138,15331.91181818182,0.2913538111490331,-5.167583532800729e-15,87.14170349590701,-34.596055013222184,-147.6314606678115,126.04011130304069,273.6715719708522,178.9241197001462,87.14170349590701,6682435.309588344,5.419121519620082
000,-3.8756876496005463e-16,27.95402422563549,5.828439659090909,-57.66026034090909,60.74003965909091,118.4003,43.0231,27.95402422563549,687656.173958526,2.1059478953356088,1.0335167065601457e-15,23.79145833827359,-7.024163863636362,-62.10656386363637,53.69033613636364,115.79690000000001,37.7561,23.79145833827359,498109.47107839095,1.4571600682593862,-2.0670334131202913e-15,32.619346048801724,-0.24720102272727473,-62.32045102272727,76.30354897727273,138.624,52.692525,32.619346048801724,936339.1282532992,2.118822753128555,2.0670334131202913e-15,37.35995672090595,15.128399431818181,-74.65570056818183,42.900999431818185,117.5567,63.362100000000005,37.35995672090595,1228274.4022454098,2.5194751990898747,5.167583532800728e-16,18.222981165328054,1.2801528409090919,-48.99134715909092,59.8791528409091,108.87050000000002,18.511475000000004,18.222981165328054,292227.7974456729,1.675225028441411,2.5837917664003644e-15,13.715007193813268,0.17904306818182114,-34.34170693181818,44.16799306818182,78.50970000000001,19.801250000000003,13.71500719381327,165529.25164718775,0.9659150170648466,4.307665335545607e-15,1.5427018223579723,-0.7517045454545404,-11.251704545454544,6.248295454545456,17.5,1.2249999999999979,1.5427018223579723,2094.3374431818156,0.10455062571103524,-4.780014767840674e-15,9.848298587690874,2.981136363636356,-16.218863636363643,16.181136363636377,32.40000000000002,19.699999999999996,9.848298587690874,85350.30686363638,0.6948805460750855,1.291895883200182e-16,8.000543834821014,2.7172727272727286,-14.182727272727274,12.317272727272737,26.50000000000001,16.325000000000003,8.000543834821014,56327.65745454545,0.5329920364050057,3.2297397080004553e-15,9.13139557090339,1.8238636363636402,-22.076136363636362,23.32386363636364,45.400000000000006,15.224999999999989,9.13139557090339,73376.49886363637,0.6848691695108079,7.751375299201093e-16,4.081655188522895,-1.3101136363636332,-12.810113636363635,16.28988636363637,29.100000000000005,3.599999999999995,4.081655188522895,14660.719988636367,0.2712172923777021,7.23461694592102e-15,87.75235393651626,-42.88692033630814,-145.8434254167511,133.30390420216642,279.1473296189175,180.01159359530448,87.75235393651626,6776418.5468316665,5.708474983597926
000,0.0,41.73470268459326,-0.7881763636363628,-57.90972636363636,74.07507363636364,131.9848,73.6816,41.73470268459326,1532771.1591908284,1.5433065984072811,-5.167583532800728e-16,12.820172784475933,-1.3441490909090912,-32.88109909090909,24.456800909090916,57.337900000000005,19.096400000000003,12.82017278447593,144634.01059695927,0.7522325369738341,5.167583532800728e-16,20.272224845565393,-0.6437994318181808,-41.806149431818184,44.725950568181815,86.5321,31.076425,20.272224845565393,361647.52816645976,1.0221981797497157,0.0,38.42102686507164,4.391470795454544,-55.74117920454545,55.03982079545455,110.781,79.29525,38.42102686507164,1299034.2687225696,1.2716423208191125,-1.291895883200182e-16,11.089499495967411,-0.33693397727272734,-21.38303397727273,20.631766022727273,42.01480000000001,20.130000000000003,11.089499495967411,108219.7591825341,0.7137976109215018,1.162706294880164e-15,5.563850829549817,0.15520795454545588,-17.101092045454543,14.587007954545456,31.6881,7.374650000000002,5.563850829549816,27241.66372706432,0.4147235494880546,5.6035983933807905e-15,1.8884991984705641,-1.1205681818181752,-11.520568181818179,4.879431818181821,16.4,1.9999999999999964,1.8884991984705646,3138.4577159090886,0.08077360637087602,2.842170943040401e-15,7.938509757956427,4.024431818181817,-13.27556818181818,11.624431818181812,24.89999999999999,15.699999999999989,7.938509757956426,55457.544715909076,0.34607508532423215,7.105427357601002e-16,7.356088267178744,4.0067045454545465,-13.593295454545455,9.106704545454548,22.700000000000003,15.199999999999998,7.356088267178744,47618.590443181805,0.30511945392491485,-6.136505445200865e-16,6.278788284517763,0.7157954545454537,-14.834204545454547,12.165795454545446,26.999999999999993,12.324999999999996,6.278788284517763,34692.40044318181,0.324118316268487,3.504267583180494e-15,1.7766845072568305,-0.4753409090909031,-11.075340909090908,5.024659090909097,16.100000000000005,2.1999999999999966,1.7766845072568305,2777.814897727273,0.13139931740614355,-1.0335167065601457e-15,66.8478647935156,17.362683840526422,-91.22972059172096,95.99168741861237,187.22140801033333,136.54644229888507,66.8478647935156,3932400.584157884,2.5168647544074743
000,-2.583791766400364e-16,42.182082144869746,-1.8614445454545443,-57.99994454545456,77.04165545454546,135.04160000000002,75.04430000000002,42.182082144869746,1565808.687587354,1.568949374288965,2.583791766400364e-16,12.815594995028697,-1.59831,-33.43961,23.898290000000006,57.337900000000005,18.655375000000006,12.815594995028697,144530.73806741202,0.7528170648464164,-1.2918958832001822e-15,20.751931734600774,-0.6837311363636358,-41.87288113636364,44.97001886363637,86.84290000000001,31.7775,20.751931734600774,378965.55023142695,1.04059590443686,-1.5502750598402185e-15,38.95442325151458,2.652068068181817,-55.962581931818185,54.81841806818182,110.781,80.680475,38.95442325151458,1335353.4399551628,1.290490898748578,-2.583791766400364e-16,11.39639878265104,-0.6562928409090906,-22.529992840909095,22.43950715909091,44.969500000000004,20.834875000000004,11.39639878265104,114292.5565876249,0.7203333333333334,-2.2608177956003185e-16,5.011355104898107,0.3357105681818173,-16.227939431818182,11.732060568181819,27.96,7.407050000000002,5.011355104898107,22100.03838890172,0.41206814562002275,1.4695315671402072e-15,1.6901352968912038,-0.9557954545454521,-11.655795454545455,4.144204545454549,15.800000000000004,1.899999999999995,1.6901352968912038,2513.7704431818156,0.07224118316268487,-1.0981115007201548e-15,7.700119148717254,4.038068181818183,-13.16193181818182,11.738068181818171,24.89999999999999,15.399999999999991,7.7001191487172544,52176.81471590908,0.343458475540387,-8.397323240801184e-16,7.185719897242879,4.192613636363635,-13.107386363636365,8.892613636363642,22.000000000000007,14.799999999999994,7.185719897242879,45438.42198863634,0.3155858930602959,1.5502750598402185e-15,5.895444693164823,0.8197727272727278,-12.380227272727272,9.819772727272735,22.200000000000006,11.725000000000003,5.895444693164825,30585.51595454545,0.3375426621160409,2.6160891634803688e-15,1.6838982069850905,-0.380681818181813,-9.880681818181817,5.119318181818187,15.000000000000004,2.000000000000001,1.683898206985091,2495.2515909090916,0.13572241183162703,0.0,66.6601441244569,19.341258159622775,-91.33184250564219,94.5505631374704,185.88240564311258,136.44975567095676,66.6601441244569,3910345.836930163,2.6295829565471704
000,-1.808654236480255e-15,42.92270009430984,-0.7349665909090914,-59.2086665909091,76.7804334090909,135.9891,78.163725,42.92270009430984,1621275.201379738,1.5771538111490329,5.167583532800728e-16,13.63758484533852,-0.4159101136363633,-37.90486011363637,25.482639886363643,63.38750000000001,16.333375,13.63758484533852,163665.67396415002,0.8206498293515359,-6.45947941600091e-17,23.41803634726489,-1.3417789772727264,-43.34057897727273,48.38862102272728,91.7292,35.526175,23.41803634726489,482595.8951984012,1.0908778156996588,-5.167583532800728e-16,40.273068126586914,3.4880727272727254,-57.156327272727275,54.045272727272724,111.2016,84.42070000000001,40.273068126586914,1427289.6143692657,1.277436973833902,-1.453382868600205e-16,11.650547618771638,0.10181374999999981,-27.131636250000003,22.796263749999998,49.9279,19.815250000000002,11.650547618771638,119447.02863919364,0.6920692832764505,1.9378438248002731e-16,5.132259312176853,0.4418946590909094,-15.88835534090909,10.649244659090911,26.5376,7.028375000000001,5.132259312176853,23179.2753697349,0.41058077360637085,-2.2446690970603166e-15,1.659137219154422,-0.8852272727272741,-11.885227272727276,4.314772727272729,16.200000000000003,1.5999999999999988,1.659137219154422,2422.4079545454524,0.07235494880546076,1.6148698540002277e-16,7.208174523322646,3.711363636363643,-12.388636363636365,10.311363636363645,22.70000000000001,14.599999999999998,7.208174523322646,45722.846363636345,0.33139931740614353,2.5837917664003644e-15,6.979510241430072,4.006250000000001,-13.493749999999999,9.006250000000009,22.500000000000007,14.424999999999997,6.979510241430072,42867.935624999984,0.31410693970420933,-1.9378438248002731e-16,5.612475440088729,0.6446590909090908,-13.65534090909091,10.044659090909096,23.700000000000006,10.000000000000002,5.612475440088729,27719.894897727267,0.34175199089874864,2.503048273700353e-15,2.42900362824617,-0.630681818181813,-11.130681818181817,14.869318181818183,26.0,2.1999999999999966,2.42900362824617,5192.051590909092,0.16461888509670103,5.167583532800728e-16,68.2399413809367,29.49624492460883,-96.78651791120024,91.11441804415821,187.90093595535845,141.64075329484203,68.2399413809367,4097886.8477128358,2.675730502647143
000,-7.751375299201093e-16,29.443352813536794,12.473617954545453,-57.97678204545454,54.58351795454545,112.56029999999998,45.4518,29.443352813536794,762881.7019141165,1.484279749715586,-1.0335167065601457e-15,40.89280767757917,3.3832967045454536,-80.21240329545454,82.42349670454547,162.6359,42.57715,40.89280767757917,1471555.1133848205,1.2821745164960183,-2.0670334131202913e-15,34.4193149534714,-6.815888750000006,-54.514138749999994,90.48426125,144.9984,51.84690000000001,34.4193149534714,1042526.5328423087,1.5024503981797495,2.5837917664003644e-15,30.705359383517262,12.12781590909092,-89.8897340909091,29.234965909090924,119.12470000000002,41.935975000000006,30.705359383517262,829680.8034864374,1.15918236632537,1.227301089040173e-15,25.811162743190838,-5.533374431818181,-41.150124431818185,98.82387556818182,139.974,30.715675000000005,25.811162743190838,586270.1874968248,1.3399215017064845,2.583791766400364e-16,20.539863230072537,-7.6967977272727275,-26.477097727272728,69.1284022727273,95.60550000000003,27.970725,20.539863230072537,371259.6637288755,1.0963936291240046,2.6604980844653752e-15,0.7213130728541165,0.05170454545454817,-11.448295454545455,1.251704545454544,12.7,0.0,0.7213130728541166,457.8574431818183,0.026279863481228665,2.5837917664003644e-15,9.624854645650329,-0.6830681818181752,-22.333068181818177,15.766931818181817,38.099999999999994,18.52500000000002,9.624854645650329,81521.28771590911,0.5274175199089876,3.3104832007004666e-15,5.172485663743519,-0.025113636363627734,-17.425113636363633,10.274886363636373,27.700000000000006,9.20000000000001,5.172485663743519,23544.05498863636,0.3103526734926053,4.392446002880619e-15,7.93101470842594,-1.4023863636363565,-24.852386363636363,13.247613636363653,38.100000000000016,14.499999999999993,7.93101470842594,55352.874988636366,0.4798634812286692,2.0024386189602822e-15,3.461573799430681,0.05261363636363825,-10.547386363636363,7.65261363636364,18.200000000000003,4.800000000000001,3.461573799430681,10544.593988636367,0.2671217292377703,2.5837917664003644e-15,107.11442168222503,62.36107475433474,-208.25118906941643,131.90869727959705,340.1598863490135,199.63196033176456,107.11442168222503,10096679.412439417,6.4652414200156025
