,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1830,4,2,5,0,0,0,1,7,0,6,0,0,0,1
001,0,1519,54,11,1,0,1,10,6,3,18,70,1,2,0
002,1,57,2041,5,2,2,2,1,2,5,7,10,0,1,0
003,5,19,13,1928,1,4,3,6,1,4,14,0,1,0,1
004,0,0,11,4,2116,34,7,2,3,2,2,99,4,10,2
005,0,0,3,0,71,2179,3,1,0,0,0,87,0,0,0
006,0,0,3,0,3,0,1891,4,0,2,1,26,134,3,13
007,2,5,0,1,9,4,5,3000,2,2,2,25,2,20,1
008,0,10,3,1,3,3,2,6,2286,61,0,0,3,6,8
009,1,3,17,1,1,0,6,5,40,2355,5,4,7,4,7
010,4,29,10,14,3,2,3,6,6,15,2380,9,1,3,3
011,0,0,9,0,14,8,2,2,0,2,1,1840,2,0,0
012,0,0,3,5,8,1,175,8,0,10,4,107,1989,9,25
013,3,4,3,1,4,2,4,4,2,1,3,53,23,2377,20
015,0,2,0,1,4,0,29,3,3,7,5,8,17,18,2407
