,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1802,4,12,7,3,1,1,1,12,0,13,0,0,0,0
001,0,1534,24,9,5,1,1,7,3,3,44,59,0,6,0
002,1,38,2028,13,1,5,0,2,6,4,21,11,4,2,0
003,1,15,6,1900,1,5,4,13,0,16,33,2,0,4,0
004,0,1,1,11,2132,20,2,10,0,0,17,101,1,0,0
005,0,1,0,0,45,2222,0,1,0,0,0,75,0,0,0
006,1,1,2,1,2,0,1988,4,1,7,2,24,39,4,4
007,0,2,0,0,0,0,0,3039,0,1,3,26,0,9,0
008,10,2,9,5,1,0,6,2,2264,64,9,1,10,7,2
009,2,11,5,13,4,0,9,3,42,2331,19,1,5,6,5
010,5,28,10,9,8,0,4,5,3,6,2404,3,2,1,0
011,0,0,0,2,4,4,0,2,0,0,0,1868,0,0,0
012,1,0,2,2,1,0,44,2,1,7,3,107,2157,3,14
013,0,5,2,0,4,1,3,3,0,1,3,37,10,2429,6
015,1,10,1,4,2,2,11,1,7,10,12,8,13,9,2413
