,precision,recall,f1-score,support
000,0.9917582417582418,0.9725215517241379,0.9820457018498367,1856.0
001,0.9371221281741233,0.9139150943396226,0.9253731343283582,1696.0
002,0.9700285442435775,0.9545880149812734,0.9622463426144408,2136.0
003,0.965482233502538,0.951,0.9581863979848867,2000.0
004,0.9715189873417721,0.9359756097560976,0.953416149068323,2296.0
005,0.9836932569413839,0.9522184300341296,0.9676999783221331,2344.0
006,0.9724371373307543,0.9668269230769231,0.9696239151398264,2080.0
007,0.9790794979079498,0.9876623376623377,0.9833521900759657,3080.0
008,0.9809770860354518,0.9485785953177257,0.9645058448459086,2392.0
009,0.9565922920892495,0.9600977198697068,0.9583418004470636,2456.0
010,0.9391575663026521,0.9678456591639871,0.953285827395091,2488.0
011,0.8059508408796895,0.9941489361702127,0.8902119552274351,1880.0
012,0.976692066337965,0.9296075085324232,0.952568306010929,2344.0
013,0.9759519038076152,0.972444089456869,0.9741948389677936,2504.0
015,0.9878394811511958,0.9732428115015974,0.9804868235767451,2504.0
accuracy,0.9597427766032417,0.9597427766032417,0.9597427766032417,0.9597427766032417
macro avg,0.9596187509202773,0.958711552105803,0.9583692803903159,34056.0
weighted avg,0.9620045175130256,0.9597427766032417,0.9601896114657704,34056.0
