,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1531,11,110,38,13,14,1,0,64,6,23,9,28,0,8
001,8,1091,112,49,42,16,0,6,38,37,101,100,92,1,3
002,30,266,936,53,74,70,16,15,88,71,80,222,196,9,10
003,16,55,91,1414,48,59,0,121,43,19,50,39,39,2,4
004,5,3,24,10,1369,76,18,43,0,1,6,447,258,1,35
005,2,0,12,14,183,1657,0,15,0,0,12,267,182,0,0
006,17,2,26,2,70,7,1005,86,0,17,18,121,566,32,111
007,10,0,11,50,89,9,0,2519,2,6,9,153,188,31,3
008,101,125,46,18,25,0,6,26,1495,166,78,46,149,25,86
009,13,199,64,31,26,5,12,48,204,1439,119,46,116,34,100
010,17,219,228,24,274,101,13,75,12,94,971,181,142,67,70
011,4,0,11,5,520,120,1,10,0,2,8,950,242,0,7
012,33,2,45,2,32,17,461,39,4,19,43,126,1249,72,200
013,0,55,6,1,28,13,16,12,1,34,72,104,473,1645,44
015,19,41,35,1,17,2,47,11,53,61,50,138,209,74,1746
