,precision,recall,f1-score,support
000,0.8477297895902547,0.8248922413793104,0.8361551064991808,1856.0
001,0.52730787820203,0.6432783018867925,0.5795484727755644,1696.0
002,0.5327262379055208,0.43820224719101125,0.48086308759311586,2136.0
003,0.8259345794392523,0.707,0.7618534482758621,2000.0
004,0.48718861209964415,0.5962543554006968,0.5362318840579711,2296.0
005,0.7650046168051708,0.7069112627986348,0.7348115299334812,2344.0
006,0.6296992481203008,0.4831730769230769,0.5467899891186072,2080.0
007,0.8324520819563781,0.8178571428571428,0.8250900753357353,3080.0
008,0.7460079840319361,0.625,0.6801637852593266,2392.0
009,0.7297160243407708,0.5859120521172638,0.6499548328816621,2456.0
010,0.5920731707317073,0.3902733118971061,0.47044573643410853,2488.0
011,0.3221430993557138,0.5053191489361702,0.3934562021122386,1880.0
012,0.30249455073867765,0.5328498293515358,0.3859107060095783,2344.0
013,0.8253888610135475,0.6569488817891374,0.7315988436735602,2504.0
015,0.7194066749072929,0.6972843450479234,0.7081727844250659,2504.0
accuracy,0.6171306084096781,0.6171306084096781,0.6171306084096781,0.6171306084096781
macro avg,0.645684893949213,0.6140770798383867,0.6214030989590038,34056.0
weighted avg,0.6540847943291821,0.6171306084096781,0.6272317984573806,34056.0
