,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1782,9,8,16,6,2,3,2,16,5,6,0,0,0,1
001,7,1431,76,17,0,20,2,5,8,15,60,26,19,6,4
002,6,65,1962,22,4,15,5,1,4,12,23,5,6,3,3
003,11,31,19,1858,9,3,1,20,3,9,23,6,4,3,0
004,1,2,4,5,2080,74,10,2,5,3,8,89,9,3,1
005,2,2,4,5,61,2166,3,1,0,3,4,61,25,7,0
006,0,0,3,0,4,9,1870,5,4,11,3,20,119,9,23
007,0,3,2,9,6,11,8,2980,10,6,9,17,3,13,3
008,19,9,8,5,2,2,2,8,2181,107,13,0,3,9,24
009,1,10,9,10,2,3,5,13,102,2245,11,2,12,11,20
010,9,38,35,22,9,2,7,4,20,14,2300,6,5,6,11
011,0,4,4,0,13,17,2,6,0,1,8,1805,19,0,1
012,0,1,8,3,7,22,134,6,3,7,1,71,2038,9,34
013,0,5,5,3,10,15,8,5,1,6,8,25,14,2383,16
015,1,2,5,1,6,0,20,5,15,17,7,8,25,20,2372
