model,fold,accuracy,f1_macro,seconds,validation_rows
HistGradientBoosting,1,0.5875,0.5587281755152481,1.2686486819984566,320
HistGradientBoosting,2,0.55625,0.5533564911768728,1.4374871959989832,320
HistGradientBoosting,3,0.58125,0.5699309505447672,1.459455109998089,320
Extra Trees,1,0.603125,0.5728866109549775,0.15061060700099915,320
Extra Trees,2,0.6375,0.6425172105448039,0.154096539998136,320
Extra Trees,3,0.6875,0.6765853019984942,0.1493719649988634,320
Random Forest,1,0.615625,0.584979755594325,0.26106955199793447,320
Random Forest,2,0.5375,0.5407844720687283,0.2681759000006423,320
Random Forest,3,0.6375,0.6329709645823681,0.25748308099719,320
