model,accuracy_oof,f1_macro_oof,f1_macro_mean,f1_macro_std
Extra Trees,0.6427083333333333,0.6383893075066308,0.6306630411660918,0.05285589493877744
Random Forest,0.596875,0.5922572692817719,0.5862450640818072,0.04610626968936237
HistGradientBoosting,0.575,0.568913438930278,0.560671872412296,0.008456455762031195
