k,exactitud,precision_macro,recall_macro,f1_macro,segundos
1,0.927144535840188,0.929757318038614,0.9231392987524082,0.9234439464991558,0.16706851399976586
3,0.8883666274970623,0.8876124724699995,0.8831198632141305,0.8831363352134807,0.17122938600005
5,0.8625146886016452,0.8677808265931499,0.8572440573306502,0.8601690521008701,0.17546989299989946
7,0.8484136310223267,0.8555477103949566,0.8423530047088855,0.8457381109892432,0.1746413519995258
9,0.8554641598119859,0.8600120421814331,0.8490861024751463,0.8518821973857148,0.17564473499987798
11,0.8437132784958872,0.8483766217219114,0.8370384803571912,0.8398718926748798,0.1758725970012165
15,0.8260869565217391,0.8309828711401824,0.8193060004263533,0.8221837753782048,0.179814950999571
