,precision,recall,f1-score,support
000,0.903243540406817,0.8852370689655172,0.8941496598639456,1856.0
001,0.6563218390804598,0.6733490566037735,0.6647264260768335,1696.0
002,0.6243037974683544,0.577247191011236,0.5998540501094625,2136.0
003,0.8447653429602888,0.819,0.8316831683168316,2000.0
004,0.6551011978521272,0.6907665505226481,0.6724613101547594,2296.0
005,0.8103989242492156,0.7713310580204779,0.7903825136612022,2344.0
006,0.6135291033036182,0.5625,0.5869074492099323,2080.0
007,0.9205702647657841,0.8805194805194805,0.9000995685363425,3080.0
008,0.7377969762419007,0.7140468227424749,0.7257276396855746,2392.0
009,0.7279411764705882,0.6449511400651465,0.6839378238341969,2456.0
010,0.7274463007159905,0.612540192926045,0.6650665502945668,2488.0
011,0.553656220322887,0.6202127659574468,0.5850476668339187,1880.0
012,0.4524346984843599,0.5985494880546075,0.5153351698806244,2344.0
013,0.8114134542705971,0.8574281150159745,0.8337864077669903,2504.0
015,0.759757483895415,0.8007188498402555,0.7797005638732257,2504.0
accuracy,0.7184930702372563,0.7184930702372563,0.7184930702372563,0.7184930702372563
macro avg,0.7199120213658935,0.7138931853496722,0.7152577312065603,34056.0
weighted avg,0.7260360223112848,0.7184930702372563,0.7205678393240446,34056.0
