,000,001,002,003,004,005,006,007,008,009,010,011,012,013,015
000,1643,18,48,20,7,8,4,1,36,7,36,13,10,0,5
001,10,1142,138,21,22,9,2,36,42,67,80,40,66,19,2
002,32,177,1233,44,57,44,4,11,94,44,108,191,49,25,23
003,15,36,75,1638,4,5,5,52,48,22,59,28,9,2,2
004,0,9,47,14,1586,99,17,15,0,2,20,243,205,31,8
005,0,4,22,8,153,1808,12,8,0,0,23,115,160,31,0
006,4,13,22,3,39,12,1170,30,9,31,31,46,542,18,110
007,3,4,10,31,71,11,12,2712,1,7,2,48,122,41,5
008,43,39,30,12,25,14,21,33,1708,206,38,26,63,56,78
009,9,102,51,43,37,25,27,7,273,1584,43,18,73,60,104
010,30,128,210,71,38,63,53,26,23,69,1524,86,20,121,26
011,4,6,33,14,319,121,5,3,1,6,31,1166,169,2,0
012,16,7,20,9,36,5,461,5,11,15,43,46,1403,45,222
013,2,38,13,4,22,4,16,6,6,63,12,27,95,2147,49
015,8,17,23,7,5,3,98,1,63,53,45,13,115,48,2005
