model,accuracy_oof,f1_macro_oof,f1_macro_mean,f1_macro_std
HistGradientBoosting,0.9654392764857881,0.9639097903330257,0.9640307903723497,0.002022930216098215
Extra Trees,0.9597427766032417,0.9583692803903159,0.9583477624074213,0.0033183052577727334
Random Forest,0.9546335447498239,0.953081207586694,0.9530654300715442,0.002818473241484497
SVM RBF,0.9436809960065774,0.9419806082871495,0.9419530592114972,0.003467317294370082
KNN,0.9312896405919662,0.9294565481204374,0.9294615129519979,0.0032157315106288845
MLP,0.9235670660089265,0.9214328829615024,0.9216649006628288,0.00440117314718111
Regresión logística,0.7184930702372563,0.7152577312065603,0.7151802786570107,0.005278412829073673
LDA regularizado,0.6171306084096781,0.6214030989590038,0.6213429861387001,0.005437798494193466
Dummy,0.09043927648578812,0.011058451816745656,0.011058454895264962,6.522684899085248e-06
